Message,Availability,Payment,Attraction (Experiences),Facility,House Rules,Location,Discount,Contact Host,Others
"Hi, I need the entire Villa from 30nov to 4th Dec 2015, 4nights. We are in total 7 couple in the age bracket 35-42 from India.Can we get the availability.Regards.Navin-----@-----.---",1,,,,,,,,
"Hi,This is Nino Muli. We are planning to have a family vacation on February. We find your place very nice however we are quite a big family. I would like to ask if you could possibly allow 10-12 persons given that we are OK to fit ourselves in, we will take very good care of your place, and we can bring extra mattresses or pillows. Also, is there an elevator or ramp accessible for wheelchair? Should there be any charge per additional person, please inform me.Thank you!", ,1,,1,,,,,
"hiI would like to ask about this apartmentIs it possible to make more discount on the priceOr that you have found an apartment in the same area, one bedroomAt a lower priceThank you", , ,,,,,1,,
"Saturday Wedding of a friend at The Chapel on the Hill. How do I go from this hotel to the venue of the wedding? Is the bus from Taft, Pasay to Tagaytay going to pass through your hotel?", , ,1,,,,,,
"I would like to see some pictures of the garden. My husband and myself are planning a private wedding ceremony with approximately 40 guests, and we'd like to see if the garden would be able to accommodate that many people. Thanks.", , , ,,1,,,,
"Hi, may I ask if possible for long term rent ang studio unit s exchange? At may almost 2yr old baby girl kmi. Looking for a new place,we wont renew our contract s current unit nmin. Thanks and looking forward s reply nyo. You may reach my wife po at +-- ---- ----. ThanksRegards", , , ,,,,,1,
"I would like to book now, could please send me your contact please.. Dinakar : +-- ---- ---------@-----.---",1,,,,,,,1,
"Hello, we are travelling from Canada and would like to stay in your lovely apartment. We would have liked to stay for the month but see that there are 4 days that are not available. Wondering if this is a firm reservation for those 4 days? Please let us know the total amount of cost till March 13th. Thank you Brian and Audrey",1,1,,,,,, ,
Let me know the availability and the good beaches arround,1,,1,,,,,,
"Hi. How are you? My family and I will be having a vacation in Cebu city this coming Jan. 1 to 6. We are looking for a place to stay and enjoy and luckily I found your place. I would like to ask if you can accommodate us. We are a group of 6. No kids, all adults. How much will it cost us for 5 days stay? If possible in Peso. I will wait for your response. Thank you",1,1,,,,,,,
"Hi, im nurul inayah from Indonesia..Im planning to go to seoul in february next year with my other 3 friends for holiday..im looking for the room to stay for 4 nights and i found your page here, and i think this room has everything we need like 2 queen beds, kitchen and restroom inside, and near to subway and many attractive places.. so i'd like to know if this room still available for us or not.Thanks",1,,,,,,,,
"Does this unit have a sofa sleeper in the living room?Thank you, Bill Sweeney",,,,1,,,,,
